dispell	무효화
timeless body	변함없는 신체
adj.	보정
trick	요령
share spell	주문 공유
evasion	회피
devotion	전념
fighter	전사
monk	수도사
flurry of blows	질풍 난타
still mind	평정심
slow fall	낙하 감속
purity of body	육체 정화
wholeness of body	육체의 완전함
diamond body	만독불침
abundant step	축지법
diamond soul	금강불괴
quivering palm	통배권
tongue of the sun and moon	해와 달의 입
empty body	육체 비우기
perfect self	완전체
paladin	성기사
aura of good	선의 오라
smite evil	악의 처벌
divine grace	신성한 우아함
lay on hands	치유의 손길
divine health	신성 건강
turn undead	언데드 구마
code of conduct	행동강령
empathic link	공감적 연결
share saving throws	내성 굴림 공유
ranger	레인저
combat style	전투 방식
swift tracker	날랜 추적자
camouflage	위장
hide in plain sight	평지 시야에서 숨기
rogue	도적
trap	함정
trapfinding	함정 찾기
crippling strike	불치의 일격
defensive roll	방어적 구르기
opportunist	기회주의자
slippery mind	약삭빠른 사고방식
sorcerer	소서러
wizard	마법사
spell	주문
spellbook	주문책
school	학파
specialization	전문화
school specialization	학파 전공
deliver touch spells	접촉 주문 전달
speak with master	주인과 대화
speak with animals of its kind	같은 종의 동물과 대화
scry on familiar	패밀리어로 염탐
level	레벨
multiclass	멀티직업
skill	스킬
check	판정
difficulty class	난이도
opposed check	대항 판정
checks without rolls	굴림 없이 판정
taking 10	10 받기
taking 20	20 받기
aid another	타인 보조하기
ability checks	능력 판정
key ability	핵심 능력
appraise	감정
balance	균형
bluff	허세
feinting	속임동작
climb	등반
concentration	집중
craft	제작
decipher script	문자 해독
diplomacy	외교
disable device	장치 무력화
ranged	원거리
melee	근접
pit	구덩이
rope	밧줄
disguise	변장
escape artist	탈출 전문가
manacle	수갑
masterwork	명품
grappler	그래플러
forgery	위조
gather information	정보 수집
handle animal	동물 조련
heal	치료
caltrop	마름쇠
intimidate	위협
jump	도약
knowledge	지식
listen	듣기
move silently	조용히 이동
open lock	자물쇠 열기
profession	전문직
ride	탑승
search	탐색
sense motive	의도 파악
speak language	언어 말하기
spellcraft	주문학
spot	감지
survival	생존
swim	수영
use magic device	마법 장치 사용
use rope	밧줄 사용
prerequisites	전제조건
item creation	아이템 제작
acrobatic	아크로바틱
agile	재빠름
alertness	경계
animal affinity	동물 친화력
armor proficiency	갑옷 숙련
athletic	운동선수
augment summoning	증강 소환
blind-fight	장님 전투
brew potion	포션 제조
cleave	쪼개기
combat casting	전투 시전
combat expertise	전투 숙련
combat reflexes	전투 반사
craft magic arms and armor	마법 무기 및 갑옷 제작
light armor	가벼운 갑옷
heavy armor	무거운 갑옷
weapon	무기
light weapon	가벼운 갑옷
heavy weapon	무거운 갑옷
~/day	/일
~/week	/주
weapon and armor proficiency	무기와 갑옷 숙련
craft rod	마법봉 제작
craft staff	마법지팡이 제작
craft wand	마법막대 제작
craft wondrous item	기타 아이템 제작
deceitful	속임수
deflect arrows	화살 쳐내기
deft hands	능숙한 손놀림
diehard	질긴목숨
diligent	근면함
dodge	회피
empower spell	주문 강화
endurance	지구력
enlarge spell	주문 범위 연장
eschew materials	구성요소 무시
exotic weapon proficiency	특이 무기 숙련
extend spell	주문 시간 연장
far shot	원거리 사격
forge ring	반지 제작
heighten spell	주문 레벨 강화
counterspell	주문 차단
critical	치명타
shield bash	방패 공격
unarmed strike	비무장 타격
investigator	수사관
iron will	강철의 의지
leadership	리더십
lightning reflexes	번개 같은 반사신경
magical aptitude	마법 재능
manyshot	다수 사격
martial weapon proficiency	무예 무기 숙련
maximize spell	주문 최대화
mobility	기동성
mounted archery	기마 궁술
mounted combat	기마 전투
natural spell	자연 주문
negotiator	협상가
nimble fingers	기민한 손가락
persuasive	설득력
point blank shot	영점 사격
power attack	강한 공격
precise shot	정밀 사격
quick draw	빠른 무기 준비
quicken spell	빠른 주문
rapid reload	재빠른 장전
rapid shot	재빠른 사격
ride-by attack	마상 공격
run	달리기
scribe scroll	마법두루마리 제작
self-sufficient	자급자족
shield proficiency	방패 숙련
shot on the run	기동 사격
silent spell	주문 암송
simple weapon proficiency	단순 무기 숙련
simple	단순
skill focus	스킬 초점
snatch arrows	화살 잡기
spell focus	주문 초점
spell penetration	주문 관통
spirited charge	맹렬한 돌격
spring attack	탄성 공격
stealthy	은신
still spell	부동 주문
stunning fist	기절 주먹
toughness	거칠음
tower shield proficiency	장방패 숙련
track	추적
trample	짓밟기
two-weapon	쌍수무기
two-weapon defense	쌍수무기 방어
two-weapon fighting	쌍수무기 전투술
weapon finesse	무기 기교
weapon focus	무기 초점
weapon specialization	무기 전문화
whirlwind attack	훨윈드 공격
widen spell	주문 범위 증가
equipment	장비
wealth and money	재산과 화폐
coins	동전
wealth other than coins	동전 이외의 재산
selling loot	전리품 판매
martial	무예
martial weapon	무예 무기
exotic weapon	생소한 무기
simple weapon	단순 무기
reach weapon	긴 무기
double weapon	쌍날 무기
thrown weapon	투척 무기
projectile weapon	투사 무기
one-handed	한손
two-handed	양손
orc double	오크 쌍날
bolas	팔맷돌
sling	무릿매
chain	사슬
spiked	가시
crossbow	석궁
dagger	단검
flail	철퇴
flail, dire	철퇴, 삼절
dire flail	삼절 철퇴
gauntlet	건틀릿
glaive	글레이브
guisarme	기삼
halberd	할버드
gnome hooked	노움 갈고리
javelin	투창
kama	낫
lance	랜스
longbow	롱보우
longspear	롱스피어
net	그물
nunchaku	쌍절곤
quarterstaff	육척봉
ranseur	랜서
rapier	레이피어
sai	사이
scythe	대낫
shortbow	숏보우
shortspear	숏스피어
shuriken	수리검
siangham	샹함
sickle	갈고리낫
spear	창
shield	방패
unarmed	비무장
sword	검
bastard	바스타드
two-bladed	쌍날
trident	삼지창
dwarven	드워프
urgrosh	어그로시
waraxe	전투도끼
whip	채찍
armor	갑옷
spellcasting	주문시전
armor spikes	갑옷 가시
banded mail	띠매듭 갑옷
breastplate	가슴보호갑
buckler	버클러
chain shirt	사슬 조끼
chainmail	사슬 갑옷
full plate	판금
gauntlet, locked	건틀릿, 고정형
locked gauntlet	고정된 건틀릿
half-plate	약식 판금
scale mail	미늘갑옷
shield bash attack	방패 밀어내기 공격
shield, tower	방패, 장방패
tower shield	장방패
shield spikes	방패 가시
splint mail	찰갑형 갑옷
crowbar	쇠지레
healer	치유사
adamantine	아다만틴
darkwood	어둠나무
iron, cold	철, 냉철
combat	전투
statistics	수치
natural 1	내츄럴 1
natural 20	내츄럴 20
attack roll	명중 굴림
attack	공격
damage	피해
armor class	방어도
enhancement	강화
deflection	굴절
touch	접촉
hit points	히트 포인트
speed	속도
saving throw	내성 굴림
fortitude	인내
reflex	반사
will	의지
initiative	선제권
surprise	기습
attacks of opportunity	기회 공격
attack of opportunity	기회 공격
action	행동
round	라운드
square	칸
standard action	표준 행동
total defense	총력 방어
damage roll	피해 굴림
supernatural	초자연적
extraordinary	비범
move action	이동 행동
full-round	전체 라운드
full-round actions	전체 라운드 행동
full attack	전력 공격
withdraw	퇴각
climate	날씨
terrain	지형
move 5 feet through difficult terrain	험준한 지형에서 5 피트 이동
free actions	자유 행동
drop an item	아이템 버리기
drop prone	엎드리기
speak	말하기
cease concentration on spell	주문 집중 해제
cast a quickened spell	빠른 주문 시전
miscellaneous actions	기타 행동
take 5-foot step	5 피트 이동
use feat	특기 사용
use skill	스킬 사용
injury and death	부상과 죽음
loss of hit points	히트 포인트 손실
hit point	히트 포인트
healing	치료
temporary hit points	임시 히트 포인트
special action	특수 행동
tactical movement	전략적 이동
encumbrance	과적상태
measuring distance	거리 측정
creature	생명체
fine	극초소형
diminutive	초소형
tiny	특소형
small	소형
large	대형
huge	특대형
gargantuan	거대형
colossal	초대형
combat modifiers	전투 수정치
cover	엄폐
concealment	은폐
flanking	협공
special attacks	특수 공격
bull rush	황소 쇄도
charge	돌격
disarm	무장해제
feint	속임동작
grapple	그래플
overrun	쇄도
sunder	무기 파괴
splash weapon	비산 무기
trip	넘어뜨리기
special initiative actions	특수 선제권 행동
delay	지연
ready	준비
antimagic	항마
blindsight	비시각적시야
blindsense	비감각적감각
breath weapon	브레스 무기
charm	매혹
compulsion	강요
cold immunity	냉기 내성
damage reduction	피해 축소
darkvision	암시야
death attacks	즉사 공격
disease	질병
blinding sickness	실명 질환
cackle fever	웃음 열병
demon fever	데몬 열병
devil chills	악마 열병
filth fever	오물 열병
mindfire	뇌화증
mummy rot	미라썩음증
red ache	붉은 반점증
the shakes	경련증
slimy doom	끈적거림증
energy drain	에너지 흡수
negative level	음의 레벨
etherealness	에테리얼화
fear	공포
fire immunity	열 내성
gaseous form	기체 형태
gaze	시선
gaze attacks	시선 공격
incorporeality	비실체상태
invisibility	투명화
level loss	레벨 손실
low-light vision	저광시야
paralysis	마비
poison	독
perils of using poison	독 사용의 위험성
poison immunities	독 내성
polymorph	변이
psionics	사이오닉
rays	광선
regeneration	재생
resistance to energy	에너지 저항
scent	냄새
spell resistance	주문 저항
tremorsense	열감지
turn resistance	구마 저항
ability damaged	능력 손상됨
ability drained	능력 흡수됨
blinded	실명
blown away	날라감
checked	억제됨
confused	혼란
cowering	위축됨
dazed	멍함
dazzled	눈부심
dead	죽음
deafened	실청
disabled	행동 불능
dying	죽어가고 있음
energy drained	에너지 흡수됨
entangled	얽힘
exhausted	탈진
fascinated	매료됨
fatigued	피로
flat-footed	무방비 상태
frightened	공포
grappling	그래플링
helpless	무기력
incorporeal	비실체
invisible	투명
knocked down	넉다운
nauseated	매스꺼움
panicked	공황
paralyzed	마비
petrified	석화
pinned	고정당함
prone	엎드림
shaken	떨림
sickened	병걸림
stable	안정
staggered	비틀거림
stunned	기절
stunning	기절
turned	구마당함
unconscious	무의식
npc classes	NPC 직업
adept	주문숙련자
adept spell list	주문숙련자 주문 목록
aristocrat	귀족
commoner	평민
expert	전문가
warrior	군인
prestige classes	상위직
arcane archer	비전 궁수
requirements	필요조건
enhance arrow	화살 강화
imbue arrow	화살 주문부여
seeker arrow	추적자 화살
phase arrow	위상 화살
hail of arrows	화살 우박
arcane trickster	비전 도적
ranged legerdemain	원거리 마술
impromptu sneak attack	즉석 은밀한 공격
archmage	대마법사
high arcana	고위급 비전
arcane fire	비전의 불
arcane reach	비전의 도달
element	원소
shaping	조형
spell power	주문 강화
assassin	암살자
save	내성
blackguard	고위급도적
aura of evil	악의 오라
dark blessing	암흑의 축복
smite good	선의 처벌
fiendish servant	핀드 하인
corrupt weapon	부패의 무기
fallen paladins	타락한 성기사
the blackguard’s fiendish servant	고위급도적의 핀드 하인
blood bond	피의 유대
dragon disciple	드래곤 제자
claws and bite	발톱과 이빨
ability boost	능력 강화
duelist	결투사
canny defense	영리한 방어
improved reaction	향상된 순발력
enhanced mobility	개선된 기동성
grace	우아함
precise strike	정밀 타격
acrobatic charge	아크로바틱 돌격
elaborate parry	정교한 받아치기
dwarven defender	드워프 수호자
eldritch knight	기괴한 기사
hierophant	교황
blast infidel	이교도 심판
divine reach	신의 도달
faith healing	믿음의 치료
gift of the divine	신의 선물
mastery of energy	에너지 마스터
power of nature	자연의 권능
horizon walker	지평선 여행자
terrain mastery benefits	지형 마스터 효과
loremaster	현자
lore	전승
true lore	진정한 전승
mystic theurge	신비의 신관
shadowdancer	그림자춤꾼
shadow illusion	그림자 환영술
summon shadow	그림자 소환
shadow jump	그림자 도약
thaumaturgist	서마터지스트
aberration	돌연변이
archon	아콘
extraplanar	이세계
fey	페이
goblinoid	고블린형
humanoid	인간형
improved grab	향상된 잡아채기
magical beast	마법 짐승
monstrous humanoid	몬스터 인간형
outsider	아웃사이더
pounce	덮치기
powerful charge	강한 돌격
rake	갈퀴질
ray	광선
reptilian	파충류
shapechanger	변신형
sonic attack	음파 공격
swallow whole	집어 삼키기
distraction	집중방해
movement	이동
overland	지역간
treasure	전리품
dungeon	던전
corridor	통로
slime	슬라임
mold	곰팡이
fungi	버섯
avalanche	만년설
siege engine	공성 무기
plane	이세계
material plane	물질 세계
ethereal plane	에테리얼 세계
plane of shadow	그림자 세계
astral plane	영적 세계
elemental plane of air	바람 원소 세계
elemental plane of earth	대지 원소 세계
elemental plane of fire	불 원소 세계
elemental plane of water	물 원소 세계
negative energy plane	음에너지 세계
positive energy plane	양에너지 세계
caster	시전자
subschool	하위학파
abjuration	회피술
conjuration	소환술
divination	점술
enchantment	부여술
evocation	강신술
illusion	환영술
figment	환영형상
glamer	환영위장
pattern	무늬
phantasm	환상
necromancy	강령술
transmutation	변환술
descriptor	표지
components	구성요소
verbal	음성
(v)	(음)
somatic	손동작
(s)	(손)
material	물질
(m)	(물)
focus	초점
(f)	(집)
divine focus	신성 초점
(df)	(신)
casting time	시전 시간
range	거리
duration	지속시간
arcane spell	비전 주문
magical writings	마법 작성
divine spell	신성 주문
cantrip	소마법
cleric domain	사제 계열
air domain	바람 계열
animal domain	동물 계열
chaos domain	혼돈 계열
death domain	죽음 계열
destruction domain	파괴 계열
earth domain	대지 계열
evil domain	악 계열
fire domain	불 계열
good domain	선 계열
healing domain	치료 계열
knowledge domain	지식 계열
law domain	질서 계열
luck domain	행운 계열
magic domain	마법 계열
plant domain	식물 계열
protection domain	보호 계열
strength domain	근력 계열
sun domain	태양 계열
travel domain	여행 계열
trickery domain	속임수 계열
war domain	전쟁 계열
water domain	물 계열
orisons	소마법
acid arrow	산성 화살
acid fog	산성 안개
acid splash	산성 거품
air walk	공중 보행
alarm	알람
mental alarm	정신적 알람
audible alarm	청각적 알람
align weapon	무기 성향 지정
alter self	형체 번형
analyze dweomer	드웨머 분석
animal growth	동물 성장
animal messenger	동물 사자
animal shapes	동물 변신
animal trance	동물 최면
animate dead	살아 움직이는 시체
animate objects	살아 움직이는 물체
animate plants	살아 움직이는 식물
animate rope	살아 움직이는 밧줄
antilife shell	대생명 보호막
antimagic field	대마법 보호장
antipathy	반감 부여
antiplant shell	대식물 보호막
arcane eye	비전의 눈
arcane lock	비전 자물쇠
arcane mark	비전의 징표
arcane sight	비전 시야
astral projection	영적 투사
atonement	속죄
augury	전조
awaken	각성
baleful polymorph	해로운 변이
bane	파멸
banishment	추방
barkskin	나무껍질피부
bear’s endurance	곰의 지구력
bestow curse	저주 부여
binding	결속
black tentacles	검은 촉수
blade barrier	칼날 방벽
blasphemy	신성모독
bless	축복
bless water	물 축복
bless weapon	무기 축복
blight	마름병
blindness	실명
deafness	실청
blink	깜빡임
blur	흐릿함
break enchantment	부여술 파괴
bull’s strength	황소의 근력
burning hands	불타는 손
call lightning	번개 소환
call lightning storm	번개폭풍 소환
calm animals	평온한 동물
calm emotions	평온한 감정
cat’s grace	고양이의 우아함
cause fear	공포 유발
chain lightning	사슬 번개
changestaff	변화지팡이
chaos hammer	혼돈의 망치
charm animal	동물 매혹
charm monster	몬스터 매혹
charm person	인간형 매혹
chill metal	한기 어린 금속
chill touch	한기 어린 손길
circle of death	죽음의 마법진
clairaudience	투청
clairvoyance	투시
clenched fist	꽉 쥔 주먹
cloak of chaos	혼돈의 망토
clone	복제
cloudkill	살인구름
color spray	다색 분사
command	명령
command plants	식물 명령
command undead	언데드 명령
commune	소통
commune with nature	자연과 소통
comprehend languages	언어 이해
cone of cold	냉기 돌풍
confusion	혼란
consecrate	신성화
contact other plane	이세계와 접촉
contagion	역병
contingency	비상사태
continual flame	지속적인 불꽃
control plants	식물 조종
control undead	언데드 조종
control water	물 조종
control weather	날씨 조종
control winds	바람 조종
create food and water	음식과 물 생성
create greater undead	최상급 언데드 생성
create undead	언데드 생성
create water	물 생성
creeping doom	스멀거리는 파멸
crushing despair	짓누르는 절망
crushing hand	짓누르는 손
cure critical wounds	치명적인 상처 치유
cure light wounds	가벼운 상처 치유
cure minor wounds	사소한 상처 치유
cure moderate wounds	일반적인 상처 치유
cure serious wounds	심각한 상처 치유
curse water	물 저주
dancing lights	춤추는 빛
daylight	햇살
daze	강타
daze monster	몬스터 강타
death knell	죽음을 알리는 종
death ward	죽음의 수호물
deathwatch	죽음감시자
deep slumber	깊은 잠
deeper darkness	깊은 암흑
delay poison	중독 지연
delayed blast fireball	지연 폭발 화염구
demand	요구
desecrate	황폐화
destruction	파괴
detect animals or plants	동식물 탐지
detect chaos	혼돈 탐지
detect evil	악 탐지
detect good	선 탐지
detect law	질서 탐지
detect magic	마법 탐지
detect poison	독 탐지
detect scrying	염탐 탐지
detect secret doors	비밀문 탐지
detect snares and pits	올무와 구덩이 탐지
detect thoughts	생각 탐지
detect undead	언데드 탐지
dictum	어르신의 말씀
dimension door	차원의 문
dimensional anchor	차원의 닻
dimensional lock	차원의 자물쇠
diminish plants	식물 약화
discern lies	거짓말 식별
discern location	장소 식별
disguise self	변장
disintegrate	분해
dismissal	차원 강제퇴거
dispel chaos	혼돈 무효화
dispel evil	악 무효화
dispel good	선 무효화
dispel law	질서 무효화
dispel magic	마법 무효화
displacement	변위
disrupt undead	언데드 붕괴
disrupting weapon	무기 붕괴
divine favor	신의 은총
divine power	신의 권능
dominate animal	동물 지배
dominate monster	몬스터 지배
dominate person	인간형 지배
doom	파멸
dream	꿈꾸기
eagle’s splendor	독수리의 광휘
earthquake	지진
elemental swarm	원소 무리
endure elements	원소 견디기
enervation	무기력
enlarge person	인간형 거대화
entangle	휘감기
enthrall	속박
entropic shield	혼돈의 방패
erase	삭제
ethereal jaunt	에테리얼 기행
expeditious retreat	날쌘 퇴각
explosive runes	폭발성 룬
eyebite	눈동자물기
fabricate	제조
faerie fire	페어리의 불꽃
false life	거짓 생명
false vision	거짓 광경
feather fall	깃털 낙하
feeblemind	정신박약
find the path	길 찾기
find traps	함정 찾기
finger of death	죽음의 손가락
fire seeds	불꽃 씨앗
fire shield	화염 방패
fire storm	화염 폭품
fire trap	화염 함정
fireball	화염구
flame arrow	화염 화살
flame blade	화염 칼날
flame strike	화염 타격
flaming sphere	화염의 구
flare	섬광
flesh to stone	살에서 돌로
fly	비행
floating disk	부유하는 원반
fog cloud	안개 구름
forbiddance	금줄
forcecage	힘의 우리
forceful hand	강인한 손길
foresight	예언
fox’s cunning	여우의 교활함
freedom	자유
freedom of movement	이동의 자유
freezing sphere	빙결의 구
gate	관문
planar travel	이세계 여행
geas/quest	기아스/임무
geas	기아스
gentle repose	부드러운 안식
ghost sound	유령의 소리
ghoul touch	구울의 손길
giant vermin	거대 해충
glibness	입심
glitterdust	반짝이가루
globe of invulnerability	무적의 보주
glyph of warding	수호의 문양
goodberry	굿베리열매
good hope	희망
grasping hand	붙잡는 손
grease	기름칠
greater (spell name)	상급 (주문 이름)
guards and wards	방어와 수호
guidance	길라잡이
gust of wind	돌풍
hallow	신성화
hallucinatory terrain	환영의 지형
halt undead	언데드 정지
harm	해악
haste	가속
heal mount	탈것 치료
heat metal	금속 가열
helping hand	도움의 손길
heroes’ feast	영웅의 연회
heroism	영웅심
hide from animals	동물로부터 숨기
hide from undead	언데드로부터 숨기
hideous laughter	끔찍한 웃음
hold animal	동물 포박
hold monster	몬스터 포박
hold person	인간형 포박
hold portal	문 잠그기
holy aura	성스로운 오라
holy smite	성스러운 처벌
holy sword	성스러운 검
holy word	성스러운 말씀
horrid wilting	지독한 고사
hypnotic pattern	최면의 무늬
hypnotism	최면술
ice storm	얼음 폭풍
identify	식별
illusory script	환영 문서
illusory wall	환영의 벽
imbue with spell ability	주문의 능력을 부여
implosion	파열
imprisonment	감금
incendiary cloud	방화 구름
inflict critical wounds	치명적인 상처 가하기
inflict light wounds	가벼운 상처 가하기
inflict minor wounds	사소한 상처 가하기
inflict moderate wounds	일반적인 상처 가하기
inflict serious wounds	심각한 상처 가하기
insanity	광기
insect plague	곤충 역병
instant summons	즉석 소환
interposing hand	가로막는 손
invisibility purge	투명상태 정화
invisibility sphere	투명의 구
iron body	강철 육체
ironwood	강철나무
irresistible dance	춤의 유혹
keen edge	예리한 칼날
knock	똑똑똑
know direction	방향 알아내기
legend lore	전설의 지식
lesser (spell name)	하급 (주문 이름)
levitate	부유
lightning bolt	번개 화살
limited wish	제한된 소원
liveoak	생참나무
locate creature	생명체 위치파악
locate object	물체 위치파악
longstrider	긴걸음주자
lullaby	자장가
mage armor	마법사의 갑옷
mage hand	마법사의 손
mage’s disjunction	마법사의 분열
mage’s faithful hound	마법사의 충직한 사냥개
mage’s lucubration	마법사의 위대한 기억력
mage’s magnificent mansion	마법사의 웅장한 저택
mage’s private sanctum	마법사의 비밀 성소
mage’s sword	마법사의 검
magic aura	마법 오라
magic circle against chaos	혼돈 방어 마법진
magic circle against evil	악 방어 마법진
magic circle against good	선 방어 마법진
magic circle against law	질서 방어 마법진
magic fang	마법 송곳니
magic jar	마법 단지
magic missile	마법 화살
magic mouth	마법의 입
magic stone	마법의 돌
magic vestment	마법의 예복
magic weapon	마법 무기
major creation	상급 창조
major image	상급 환영
make whole	완전 수리
mark of justice	정의의 징표
mass (spell name)	광역 (주문 이름)
maze	미로
meld into stone	돌에 스며들기
mending	수선
message	메세지
meteor swarm	유성우
mind blank	정신 공백
mind fog	정신 안개
minor creation	하급 제작
minor image	하급 환영
miracle	기적
mirage arcana	신기루 비전술
mirror image	환영 복제
misdirection	눈속임
mislead	오도
mnemonic enhancer	기억 증폭기
modify memory	기억 조작
moment of prescience	순간 선견
move earth	지형 조정
neutralize poison	독성 무효화
nightmare	밤마귀
nondetection	탐지방어
obscure object	물체 숨기기
obscuring mist	차폐의 안개
open/close	열기/닫기
order’s wrath	질서의 격노
overland flight	장거리 비행
owl’s wisdom	부엉이의 지혜
passwall	벽통과
pass without trace	흔적 없는 이동
permanency	영구화
permanent image	영구적인 환영
persistent image	지속적인 환영
phantasmal killer	환상의 암살자
phantom steed	환상의 군마
phantom trap	환상의 함정
phase door	위상의 문
planar ally	이세계 동료 소환
planar binding	이세계 결속
plane shift	이세계 전이
plant growth	식물 성장
polar ray	극지방의 광선
polymorph any object	객체 변이
power word blind	권능의 말씀 눈멃
power word kill	권능의 말씀 죽음
power word stun	권능의 말씀 기절
prayer	기도
prestidigitation	요술
prismatic	무지갯빛
prismatic sphere	무지갯빛의 구
prismatic spray	무지갯빛 분사
prismatic wall	무지갯빛 벽
produce flame	화염 생성
programmed image	조건적으로 발동하는 환영
project image	환영 투사
protection from arrows	화살 방어 마법
protection from chaos	혼돈 방어 마법
protection from energy	에너지 방어 마법
protection from evil	악 방어 마법
protection from good	선 방어 마법
protection from law	질서 방어 마법
protection from spells	주문 방어 마법
prying eyes	훔쳐보는 눈길
purify food and drink	음식과 음료 정화
pyrotechnics	화염술
quench	진화
rage	격노
rainbow pattern	무지개 무늬
raise dead	시체 되살리기
ray of enfeeblement	쇠약 광선
ray of exhaustion	탈진 광선
ray of frost	서리 광선
read magic	마법 읽기
reduce animal	동물 축소
reduce person	인간형 축소
refuge	피난
regenerate	재생
reincarnate	환생
remove blindness/deafness	실명/실청 제거
remove curse	저주 제거
remove disease	질병 제거
remove fear	공포 제거
remove paralysis	마비 제거
repel metal or stone	금속과 암석 퇴치
repel vermin	무리 퇴치
repel wood	나무 퇴치
repulsion	격퇴
resilient sphere	탄성의 구
resistance	저항
resist energy	에너지 저항
restoration	복원
resurrection	부활
reverse gravity	중력 역전
righteous might	의로운 권능
rope trick	밧줄 요령
rusting grasp	부식의 손아귀
sanctuary	성역
scare	겁주기
scintillating pattern	번쩍이는 무늬
scorching ray	소이 광선
screen	가림막
scrying	염탐
sculpt sound	소리 조각하기
searing light	타오르는 빛
secret chest	비밀 상자
secret page	비밀 페이지
secure shelter	안전 가옥
see invisibility	투명상태 보기
seeming	외관변경
sending	송신
sepia snake sigil	먹빛 뱀의 인장
sequester	은둔
shades	그림자술
shadow conjuration	그림자 소환술
shadow evocation	그림자 강신술
shadow walk	그림자 보행
shambler	휘청거리는 자
shapechange	형태변경
shatter	분쇄
shield of faith	신뢰의 방패
shield of law	질서의 방패
shield other	타인의 방패
shillelagh	실레일리
shocking grasp	충격의 손아귀
shout	힘찬 함성
shrink item	아이템 수축
silence	침묵
silent image	침묵의 환영
simulacrum	복제
slay living	처단
sleep	수면
sleet storm	진눈깨비 폭풍
slow	둔화
snare	올무
soften earth and stone	물렁한 대지와 암석
solid fog	짙은 안개
song of discord	불화의 노래
soul bind	영혼 결속
sound burst	소리 폭발
speak with animals	동물과 대화
speak with dead	시체와 대화
speak with plants	식물과 대화
spectral hand	유령의 손
spell immunity	주문 면역
spellstaff	주문지팡이
spell turning	주문 반사
spider climb	거미 기어오르기
spike growth	가시 성장
spike stones	가시 암석
spiritual weapon	영혼의 무기
statue	석상
status	상태확인
stinking cloud	냄새나는 구름
stone shape	암석 조형
stoneskin	돌피부
stone tell	돌과 대화
stone to flesh	돌에서 살로
storm of vengeance	폭풍의 복수
suggestion	제안
summon instrument	악기 소환
summon monster	몬스터 소환
summon monster i	1레벨 몬스터 소환
monster i	1레벨 몬스터
summon monster ii	2레벨 몬스터 소환
monster ii	2레벨 몬스터
summon monster iii	3레벨 몬스터 소환
monster iii	3레벨 몬스터
summon monster iv	4레벨 몬스터 소환
monster iv	4레벨 몬스터
summon monster v	5레벨 몬스터 소환
monster v	5레벨 몬스터
summon monster vi	6레벨 몬스터 소환
monster vi	6레벨 몬스터
summon monster vii	7레벨 몬스터 소환
monster vii	7레벨 몬스터
summon monster viii	8레벨 몬스터 소환
monster viii	8레벨 몬스터
summon monster ix	9레벨 몬스터 소환
monster ix	9레벨 몬스터
summon nature’s ally	자연의 동료 소환
summon nature’s ally i	1레벨 자연의 동료 소환
nature’s ally i	1레벨 자연의 동료
summon nature’s ally ii	2레벨 자연의 동료 소환
nature’s ally ii	2레벨 자연의 동료
